نوع_السيارة,المدينة,السعر,الكمية
Lexus LX,الدمام,154331,4
Camry,الدمام,293246,5
Lexus LX,الرياض,226378,4
Land Cruiser,الدمام,301402,3
Camry,الدمام,413126,4
Hilux,الرياض,280351,5
Lexus LX,الرياض,300461,5
Camry,الدمام,387613,5
Camry,الرياض,343264,1
Camry,الرياض,335666,3
Hilux,جدة,363880,2
Hilux,الدمام,294523,2
Lexus LX,جدة,313744,3
Camry,الدمام,162860,3
Hilux,جدة,152523,1
Camry,الدمام,345784,2
Land Cruiser,الدمام,344970,1
Hilux,أبها,421814,2
Camry,جدة,133500,1
Camry,الرياض,225978,2
Hilux,الدمام,407429,4
Land Cruiser,الرياض,373917,3
Camry,جدة,137669,1
Camry,الرياض,134927,2
Land Cruiser,جدة,172183,5
Camry,أبها,385218,1
Hilux,أبها,425131,3
Lexus LX,جدة,132411,5
Hilux,جدة,169913,3
Land Cruiser,الرياض,304181,4
Camry,الرياض,314249,1
Lexus LX,أبها,161573,2
Hilux,أبها,289359,3
Hilux,أبها,270395,5
Land Cruiser,جدة,199032,1
Land Cruiser,الرياض,440981,2
Lexus LX,الدمام,359460,5
Camry,الرياض,230886,5
Land Cruiser,أبها,401092,4
Land Cruiser,جدة,413618,1
Lexus LX,الدمام,171692,3
Hilux,جدة,351396,4
Camry,جدة,417203,4
Camry,أبها,287097,2
Camry,الرياض,247677,3
Lexus LX,الرياض,268492,3
Camry,الرياض,381006,2
Camry,الدمام,219985,3
Hilux,أبها,406298,1
Lexus LX,جدة,330834,5
Land Cruiser,أبها,254950,2
Land Cruiser,جدة,395632,1
Hilux,جدة,293785,2
Camry,أبها,304504,1
Camry,الدمام,414465,3
Lexus LX,أبها,413218,4
Land Cruiser,الرياض,395275,2
Hilux,الرياض,414329,4
Land Cruiser,الرياض,132585,5
Land Cruiser,الدمام,368878,4
Hilux,الرياض,236862,3
Hilux,الدمام,210908,5
Camry,جدة,128177,2
Camry,الرياض,253156,1
Land Cruiser,الرياض,393808,2
Land Cruiser,أبها,205894,2
Lexus LX,جدة,268012,3
Lexus LX,جدة,327852,5
Land Cruiser,أبها,274690,5
Hilux,الرياض,215978,1
Lexus LX,الرياض,434991,4
Camry,أبها,153355,3
Camry,أبها,179021,3
Lexus LX,الدمام,430148,2
Camry,الدمام,372596,2
Land Cruiser,جدة,315042,3
Camry,أبها,166964,3
Land Cruiser,الدمام,262144,5
Land Cruiser,الدمام,181732,2
Land Cruiser,الدمام,124554,2
Land Cruiser,الرياض,276849,5
Camry,أبها,152815,3
Land Cruiser,الدمام,329732,1
Camry,الرياض,232146,1
Hilux,الدمام,352000,1
Hilux,جدة,424478,5
Lexus LX,الرياض,420256,4
Land Cruiser,أبها,284327,1
Hilux,أبها,225415,5
Land Cruiser,الرياض,200583,1
Land Cruiser,الدمام,427732,3
Land Cruiser,الدمام,156329,4
Land Cruiser,أبها,381092,4
Land Cruiser,جدة,375423,4
Lexus LX,أبها,360921,1
Lexus LX,جدة,212864,4
Camry,أبها,429461,2
Land Cruiser,الدمام,314477,3
Camry,أبها,424106,4
Hilux,الدمام,327338,3
